norm_entity,nb_fp,kb_ids,exemples
bundesrat,176,https://dodis.ch/R6,Bundesrat | Bundesrates | Bundesrat
efta-staat,57,https://dodis.ch/R10096,EFTA-Staaten | EFTA-Staaten | EFTA-Staaten
brf,42,https://dodis.ch/P24533,BRF | BRF | BRF
bundesratbeschlus,30,https://dodis.ch/R6,Bundesratsbeschluss | Bundesratsbeschluss | Bundesratsbeschluss
vereint,23,NIL,Vereinten | Vereinten | Vereinten
uno,22,https://dodis.ch/R202,UNO | UNO | UNO
eg-staat,22,https://dodis.ch/R9899,EG-Staaten | EG-Staaten | EG-Staaten
eg-kommissio,21,https://dodis.ch/R9899,EG-Kommission | EG-Kommission | EG-Kommission
ewg-staat,20,https://dodis.ch/R9899,EWG-Staaten | EWG-Staaten | EWG-Staaten
eg-beitritt,20,https://dodis.ch/R9899,EG-Beitritt | EG-Beitritt | EG-Beitritt
uno-generalsekretär,18,https://dodis.ch/R202|https://dodis.ch/P53690|NIL,Uno-Generalsekretärs | UNO-Generalsekretärs | UNO-Generalsekretärs
nationalrat,18,https://dodis.ch/R148,Nationalrat | Nationalrat | Nationalrat
csfr,16,https://dodis.ch/G73,CSFR | CSFR | CSFR
bundesratbeschluss,16,https://dodis.ch/R6,Bundesratsbeschlusses | Bundesratsbeschlusses | Bundesratsbeschlusses
europarat,16,https://dodis.ch/R2382,Europarats | Europarates | Europarates
uno-beitritt,16,https://dodis.ch/R202,UNO-Beitritt | UNO-Beitritt | UNO-Beitritt
efta-partn,15,https://dodis.ch/R10096,EFTA-Partner | EFTA-Partner | EFTA-Partner
ewr-vertrag,14,https://dodis.ch/R18628,EWR-Vertrages | EWR-Vertrags | EWR-Vertrag
ewr-verhandlung,12,https://dodis.ch/R18628,EWR-Verhandlungen | EWR-Verhandlungen | EWR-Verhandlungen
efta-länd,12,https://dodis.ch/R10096,EFTA-Länder | EFTA-Länder | EFTA-Länder
eg-mitgliedschaft,12,https://dodis.ch/R9899,EG-Mitgliedschaft | EG-Mitgliedschaft | EG-Mitgliedschaft
unicef,11,https://dodis.ch/R202,UNICEF | UNICEF | UNICEF
estv,11,NIL,EStV | EStV | EStV
brd,10,https://dodis.ch/G806,BRD | BRD | BRD
plo-büro,10,https://dodis.ch/R11002,PLO-Büro | PLO-Büros | PLO-Büro
ksze-staat,10,https://dodis.ch/R20591,KSZE-Staaten | KSZE-Staaten | KSZE-Staaten
ewr-abkomm,10,https://dodis.ch/R18628,EWR-Abkommen | EWR-Abkommen | EWR-Abkommen
uno-sanktion,9,https://dodis.ch/R202,UNO-Sanktionen | UNO-Sanktionen | UNO-Sanktionen
efta-partner,9,https://dodis.ch/R10096,EFTA-Partnern | EFTA-Partners | EFTA-Partners
eg-mitglied,9,https://dodis.ch/R9899,EG-Mitglieder | EG-Mitglied | EG-Mitglied
